title,is_redirect,redirect_target
Females in BBC Panel Shows,yes,BBC controversies
Females in BBC panel shows,yes,BBC controversies
Females in Bahrain,yes,Women in Bahrain
Females in Christmas Island,yes,Christmas Island
Females in Hong Kong,yes,Women in Hong Kong
Females in Maya culture,yes,Women in Maya society
Females in combat,yes,Women in combat
Females in law,yes,Women in law
Females in the Funeral Industry,yes,Women in death care in the United States
Females in the IDF,yes,Women in the Israel Defense Forces
Females in the Israel Defense Forces,yes,Women in the Israel Defense Forces
