title,category,first_sentence
Men In Hijab,topic,"Men in Hijab was a movement in Iran and other parts of the Persian world in 2016 in which men wore the hijab, or female headscarf, as a show of solidarity with their female relatives and wives. It aimed to end the requirement of women to wear the hijab."
Men in Aida,book,"Men in Aida is a homophonic translation of Book One of Homer's Iliad into a farcical bathhouse scenario, perhaps alluding to the homoerotic aspects of ancient Greek culture.  It was written by the language poet David Melnick and is an example of poetic postmodernism."
Men in Black,topic,"Men in black, in American popular culture and in UFO conspiracy theories, are men dressed in black suits who claim to be government agents who harass or threaten UFO witnesses to keep them quiet about what they have seen."
Men in Black (1934 film),film,"Men in Black  is a 1934 short subject directed by Raymond McCarey starring American slapstick comedy team The Three Stooges (Moe Howard, Larry Fine, and Jerry Howard). It is the third entry in the series released by Columbia Pictures starring the comedians, who released 190 short subjects for the studio between 1934 and 1959."
Men in Black (1997 film),film,"Men in Black (abbreviated as MIB) is a 1997 American science fiction action comedy film directed by Barry Sonnenfeld, based on a script by Ed Solomon, that adapts the Marvel Comics series The Men in Black by Lowell Cunningham. Tommy Lee Jones and Will Smith respectively star as Agent K and Agent J, who investigate a series of seemingly unrelated criminal incidents related to the extraterrestrials who live in secret on Earth."
Men in Black (The X-Files),tv_series,"On The X-Files television show, the term Men in Black refers to a group of enforcers employed by the Syndicate to execute assassinations, cover-ups and other clandestine operations. It is clear that most, if not all, of them are former members of special operations units."
Men in Black (film series),film,"Men in Black (also known as MIB) is a series of American science fiction action comedy films directed by Barry Sonnenfeld, and based on the Malibu / Marvel comic book series The Men in Black by Lowell Cunningham, which was itself based on a UFO conspiracy theory. The first film, Men in Black, was released in 1997, the second film, Men in Black II in 2002, the third film, Men in Black 3 in 2012, and the fourth film, a spin-off,  Men in Black: International in 2019."
Men in Black (franchise),film,Men in Black is an American science fiction comedy media franchise that originated with the Malibu/Marvel comic book of the same name created by American author Lowell Cunningham. The franchise focuses on the titular non-governmental organization which monitors and regulates paranormal and alien activity on Earth while preventing civilians from finding out about it.
Men in Black (song),film,"""Men in Black"" is a song by American rapper and actor Will Smith from the 1997 film of the same name, in which he also played the lead role. The song was released by Columbia Records on June 3, 1997, as the lead single from both the soundtrack and Smith's first solo album, Big Willie Style (1997), and it was Smith's debut solo single following his work with DJ Jazzy Jeff."
Men in Black 2: The Series,tv_series,"Men in Black 2: The Series is an action video game developed by David A. Palmer Productions and published by Crave Entertainment for the Game Boy Color. It is based on the animated television series, Men in Black: The Series, and is a sequel to the 1999 video game of the same name."
Men in Black 3,film,Men in Black 3 (stylized as MIB³ in promotional material) is a 2012 American science fiction action comedy film based on the Men in Black comic book series. It is the third installment in the Men in Black film series.
Men in Black 3 (soundtrack),film,"Men in Black 3 (Original Motion Picture Soundtrack) is the score soundtrack to the 2012 film Men in Black 3, the third and final instalment in the Men in Black franchise as well as in the original trilogy and a sequel to Men in Black II (2002), starring Will Smith, Tommy Lee Jones and Josh Brolin. The film's musical score is composed by Danny Elfman and released through Sony Classical Records on May 29, 2012, four days after the film."
Men in Black II,film,"Men in Black II (stylized as MIIB in promotional material) is a 2002 American science fiction action comedy film based on the Marvel Comics series of a similar name based on the conspiracy theory. Produced by Columbia Pictures and Amblin Entertainment in association with MacDonald/Parkes Productions, and distributed by Sony Pictures Releasing, it is the sequel to Men in Black (1997) and the second installment in the Men in Black film series."
Men in Black II (soundtrack),film,"Men in Black II (Music from the Motion Picture) is the soundtrack to the 2002 film Men in Black II directed by Barry Sonnenfeld; a sequel to Men in Black (1997) and the second instalment in the eponymous film trilogy starring Will Smith and Tommy Lee Jones, reprising their roles from the predecessor. The soundtrack released through Columbia Records on June 25, 2002 and featured original score composed by Danny Elfman and three songs—""Black Suits Comin' (Nod Ya Head)"" by Will Smith and Trā-Knox, ""Who Let the Dogs Out"" by Baha Men and ""I Will Survive"" by Tim Blaney—the former of which was released as a single on May 13, 2002."
Men in Black II: Alien Escape,video_game,"Men in Black II: Alien Escape is an action-adventure video game developed by Infogrames Melbourne House and published by Infogrames in 2002 for the PlayStation 2, and was later ported to the GameCube in 2003 by Tantalus. The game is partially based on the Men in Black II movie."
