title,is_redirect,redirect_target
Women In (E)motion,yes,Women in (E)motion
Women In Agriculture - United States,yes,Agriculture in the United States
Women In Astronomy Nepal,no,
Women In Astronomy Nepal (WIAN),yes,Women In Astronomy Nepal
Women In Bangladesh,yes,Women in Bangladesh
Women In Blue,yes,Women in Blue (film)
Women In Clothes,yes,Sheila Heti
"Women In Communications, Inc.",yes,Association for Women in Communications
Women In Development,yes,Women in development
Women In Film Noir,yes,Portrayal of women in film noir
Women In Hinduism,yes,Women in Hinduism
Women In Love,yes,Women in Love
Women In Love (Van Halen song),yes,Van Halen II
Women In Love (telenovela),yes,Mulheres Apaixonadas
Women In Military Service For America Memorial,yes,Military Women's Memorial
Women In Military Service For America Memorial Foundation,yes,Military Women's Memorial
Women In Prison Advocacy Network,yes,Women's Justice Network
Women In Red,yes,Women in Red
Women In Revolt,yes,Women in Revolt
Women In Tech,yes,Women in Tech
Women In Tech Africa,yes,Women in Tech Africa
Women In The Shadows,yes,Women in the Shadows
Women In Trouble,yes,Women in Trouble
"Women In Trucking Association, Inc",no,
Women in (E)motion,no,
Women in (E)motion (Ani DiFranco album),no,
Women in (E)motion (Odetta album),no,
Women in 17th-century New England,no,
Women in 18th century warfare,yes,Women in 18th-century warfare
Women in 18th-century warfare,no,
Women in 1930s Francoist Spain,no,
Women in 1940s Spain,no,
Women in 1950s Spain,no,
Women in 1960s Spain,no,
Women in 1970s Francoist Spain,no,
Women in 1970s Spain in the democratic transition,yes,Women in the Spanish democratic transition period
Women in 1980s Spain in the democratic transition,yes,Women in the Spanish democratic transition period
Women in 19th century warfare,yes,Women in warfare and the military in the 19th century
Women in 2014,yes,Women's rights in 2014
Women in 2023 Israel-Hamas war,yes,Women in the Gaza war
Women in 2023 Israel–Hamas war,yes,Women in the Gaza war
Women in AFP,yes,Women in the Philippine military
Women in Abkhazia,no,
Women in Abstraction,no,
Women in Acción Católica in Francoist Spain,yes,Women in Francoist Spain
Women in Afghanistan,no,
Women in Africa,no,
Women in African cinema,no,
Women in Albania,no,
Women in Algeria,no,
Women in America,yes,Women in the United States
Women in America: Indicators of Social and Economic Well-Being,no,
Women in American Radio,yes,Women in American radio
Women in American football,yes,List of female gridiron football players
Women in American history,yes,History of women in the United States
Women in American juries,yes,Women in United States juries
Women in American politics,yes,Politics of the United States
Women in American prisons,yes,Incarceration of women in the United States
Women in American radio,no,
Women in Amish Society,yes,Women in Amish society
Women in Amish society,no,
Women in Ancient Athens,yes,Women in classical Athens
Women in Ancient Egypt,yes,Women in ancient Egypt
Women in Ancient Greece,yes,Women in Greece
Women in Ancient Rome,yes,Women in ancient Rome
Women in Ancient Sparta,yes,Women in ancient Sparta
Women in Andorra,no,
Women in Anglo-Saxon society,no,
Women in Angola,no,
Women in Animation,no,
Women in Antarctica,no,
Women in Arab societies,yes,Women in the Arab world
Women in Argentina,no,
Women in Armenia,no,
Women in Arms,no,
Women in Arms (film),yes,Women in Arms
Women in Art,yes,Women artists
Women in Arts Award,no,
Women in Asia,no,
Women in Australia,no,
Women in Australian politics,yes,Women and government in Australia
Women in Austria,no,
Women in Automotive Industry,yes,Women in the automotive industry
Women in Aviation International,no,
Women in Aviation International Pioneer Hall of Fame,no,
"Women in Aviation, International",yes,Women in Aviation International
"Women in Aviation, International Pioneer Hall of Fame",yes,Women in Aviation International Pioneer Hall of Fame
Women in Azerbaijan,no,
Women in Aztec civilisation,yes,Women in Aztec civilization
Women in Aztec civilization,no,
Women in Bahrain,no,
Women in Bangladesh,no,
Women in Bangladesh Army,yes,Women in the Bangladesh military
Women in Bangladesh Police,yes,Women in the Bangladesh Police
Women in Belarus,no,
Women in Belfast,yes,Women in Northern Ireland
Women in Belgium,no,
Women in Belize,yes,Belize
Women in Benin,no,
Women in Bermuda,no,
Women in Bhutan,no,
Women in Black,no,
Women in Black of Wat Samian Nari,no,
Women in Bletchley Park,no,
Women in Blue,yes,India women's national cricket team
Women in Blue (TV series),yes,List of Apple TV original programming
Women in Blue (film),no,
Women in Bolivia,yes,Gender inequality in Bolivia
Women in Bondage,no,
Women in Bosnia,yes,Women in Bosnia and Herzegovina
Women in Bosnia and Herzegovina,no,
Women in Botswana,no,
Women in Brazil,yes,Women's rights in Brazil
Women in Brunei,no,
Women in Buddhism,no,
Women in Buddhist culture,yes,Women in Buddhism
Women in Bulgaria,no,
Women in Burma,yes,Women in Myanmar
Women in Burundi,no,
Women in Business Award,no,
Women in Business Romania,no,
