title,category,first_sentence
Women In Astronomy Nepal,organization,"Women In Astronomy Nepal (WIAN) was established on November 1, 2015 A.D. in order to provide a common platform for all the women interested in astronomy and in Nepal. It is a sub unit within Nepal Astronomical Society (NASO)."
"Women In Trucking Association, Inc",organization,"Women In Trucking Association, Inc. (WIT) is an American non-profit organization which focuses on the employment of women in the trucking industry and addresses obstacles that might keep women from entering or succeeding in the trucking industry."
Women in (E)motion,disambiguation,Women in (E)motion may refer to:
Women in (E)motion (Ani DiFranco album),topic,"Women In (E)motion is an Import CD release by Ani DiFranco from 1994.  The set was recorded live at Schauburg in Bremen, Germany, on July 8, 1994, for the Women In (E)motion festival series on Radio Bremen and released by Tradition & Moderne Records."
Women in (E)motion (Odetta album),music,"Women in (E)motion is a live album by American folk singer Odetta, released in 2002. It was recorded live for the Women In (E)motion Festival
in Bremen, Germany in 1990."
Women in 17th-century New England,topic,"The experience of women in early New England differed greatly and depended on one's social group acquired at birth. Puritans, Native Americans, and people coming from the Caribbean and across the Atlantic were the three largest groups in the region, the latter of these being smaller in proportion to the first two."
Women in 18th-century warfare,topic,Women have contributed to military activities including as combatants.  The following list describes women known to have participated in military actions in the 18th century.
Women in 1930s Francoist Spain,topic,"Women in 1930s Francoist Spain experienced major changes to marriage. Civil marriages that took place between 1932 and 1939 were annulled, and only if both partners were Roman Catholic were they permitted to remarry."
Women in 1940s Spain,topic,Women in 1940s Spain were mainly recognised as mothers and homemakers.
Women in 1950s Spain,topic,Women in 1950s Spain were mainly involved in the domestic sphere.
Women in 1960s Spain,topic,Women in 1960s Spain oversaw a period of transition from the domestic sphere to the workplace.
Women in 1970s Francoist Spain,topic,Women in 1970s Francoist Spain were arrested and tortured for their involvement in underground unions during the Francoist period.
Women in Abkhazia,topic,"Abkhazian women, particularly those of older age, are traditionally portrayed as peacemakers, decision makers, and mediators in times of combat and conflict. While they play a very active role in civil society, they are not widely represented in governmental structures."
Women in Abstraction,topic,Women in Abstraction. Another History of Abstraction in the 20th Century or Elles font l'abstraction.
Women in Afghanistan,topic,"Women's rights in Afghanistan are severely restricted by the Taliban. In 2023, the United Nations termed Afghanistan as the world's most repressive country for women."
Women in Africa,topic,"The culture, evolution, and history of women who were born in, live in, and are from the continent of Africa reflect the evolution and history of the African continent itself.
Numerous short studies regarding women's history in African nations have been conducted."
Women in African cinema,topic,"Women are involved in the African film industry in a variety of roles, though they have been underrepresented in creative positions."
Women in Albania,topic,The first women's association in Albania was founded in 1909. Albanian women from the northern Gheg region resided within a conservative and patriarchal society.
Women in Algeria,topic,"Throughout history of Algeria as an independent state, there has been conflict between women's rights activists and conservatives about the status of women in Algeria. The 1984 Algerian Family Code entrenched certain forms of gender inequality and discrimination against women."
